"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-200b_hsa-miR-200b-3p",27.5731541371921,-0.573107026066722,0.247469263072272,-2.31587155088165,0.0205652830706885,0.0474309129780619,"hsa-miR-200b-3p",-0.758758465435175
"hsa-mir-200a_hsa-miR-200a-3p",23.7530280861417,-0.987822775294842,0.271259567115821,-3.64161450892925,0.000270933565513629,0.00132641095263728,"hsa-miR-200a-3p",-2.84228410532479
"hsa-mir-5581_hsa-miR-5581-3p",5.08301018735523,-0.645751932455541,0.259781901979574,-2.48574641857197,0.0129280049116242,0.0338247472769709,"hsa-miR-5581-3p",-0.949749624789728
"hsa-mir-30e_hsa-miR-30e-5p",2627.18912872188,-0.829754240477611,0.167173264919776,-4.96343862683904,6.92559327059688e-07,1.26024412229193e-05,"hsa-miR-30e-5p",-4.06541850519289
"hsa-mir-30e_hsa-miR-30e-3p",45.8170494921305,-0.857125440482726,0.219612505486389,-3.90289905661063,9.50473497111266e-05,0.000566028246787157,"hsa-miR-30e-3p",-2.78322506996394
"hsa-mir-30c-1_hsa-miR-30c-5p",623.618989842328,-1.17458564486667,0.217837699021648,-5.39202190503283,6.9669272448112e-08,2.31650330889972e-06,"hsa-miR-30c-5p",-6.61898635285299
"hsa-mir-101-1_hsa-miR-101-5p",91.187033611628,-0.805629395230002,0.177817892539823,-4.53064302879181,5.88044273400706e-06,5.72267475821663e-05,"hsa-miR-101-5p",-3.41780290041595
"hsa-mir-101-1_hsa-miR-101-3p",5801.26536133794,-0.709038518333328,0.181921061948806,-3.8975064829649,9.71882214043729e-05,0.000570266181475659,"hsa-miR-101-3p",-2.30006591977466
"hsa-mir-190b_hsa-miR-190b",32.0770656159353,-0.849848913018537,0.214146269357024,-3.96854409637962,7.23130774159591e-05,0.00045082684201512,"hsa-miR-190b",-2.84358616347988
"hsa-mir-92b_hsa-miR-92b-3p",20.5187198867298,-0.673722944977362,0.23593647475581,-2.85552687720139,0.00429654861134333,0.0135956439858223,"hsa-miR-92b-3p",-1.25757139484263
"hsa-mir-199a-2_hsa-miR-199a-3p",325.931220062828,-0.49528789066977,0.182767900880992,-2.70992821103895,0.00672977724101491,0.0195285899575633,"hsa-miR-199a-3p",-0.846610011027263
"hsa-mir-29c_hsa-miR-29c-3p",1291.64812990282,-0.869725627358277,0.205192475325288,-4.238584411926,2.24933608079481e-05,0.000167754223595725,"hsa-miR-29c-3p",-3.28349824058403
"hsa-mir-664a_hsa-miR-664a-3p",19.2781596569229,-1.07631961756335,0.266556600923125,-4.03786518073795,5.39398364767107e-05,0.000347128947648509,"hsa-miR-664a-3p",-3.7235375849751
"hsa-mir-1537_hsa-miR-1537-3p",161.441380989289,-0.676948450234687,0.203668887980564,-3.32376956022506,0.000888095474452091,0.00349546653863102,"hsa-miR-1537-3p",-1.66292038234329
"hsa-mir-548ak_hsa-miR-548ak",3.47159265031789,-0.55338999383046,0.239939634063361,-2.30637175050591,0.0210898690778368,0.048361251506074,"hsa-miR-548ak",-0.727985903132502
"hsa-mir-3611_hsa-miR-3611",2.79553261895113,-0.976779791364089,0.277633182130044,-3.51823864809706,0.000434421493729339,0.00192593528886673,"hsa-miR-3611",-2.65230712273423
