"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-34a_hsa-miR-34a-5p",131.034077268136,0.706589340582646,0.290961429608648,2.42846394291172,0.0151629327598853,0.0284222938745901,"hsa-miR-34a-5p"
"hsa-mir-186_hsa-miR-186-5p",572.805698243123,0.944481238245761,0.259249120082995,3.64314153869991,0.00026933063935799,0.000815525642251816,"hsa-miR-186-5p"
"hsa-mir-186_hsa-miR-186-3p",3.89359515298992,1.03400222560534,0.300851104806799,3.43692347837432,0.000588361802256155,0.00161240924289187,"hsa-miR-186-3p"
"hsa-mir-199a-2_hsa-miR-199a-5p",13.5084405133612,0.812991425898296,0.262554299485419,3.09646967309879,0.00195839893486276,0.00479088552991851,"hsa-miR-199a-5p"
"hsa-mir-181a-1_hsa-miR-181a-3p",7.20869996975313,0.702232548038031,0.29318932580031,2.39515045822753,0.0166135463508037,0.0307421605551197,"hsa-miR-181a-3p"
"hsa-mir-29b-2_hsa-miR-29b-3p",78.1664372046192,0.746892804137174,0.212932430172275,3.50765171624113,0.000452080490025736,0.00127110942974769,"hsa-miR-29b-3p"
"hsa-mir-1537_hsa-miR-1537-3p",10.9892586514177,0.942024696983094,0.307863368544072,3.05987913222043,0.00221426332524068,0.00535629061357102,"hsa-miR-1537-3p"
"hsa-mir-1287_hsa-miR-1287-5p",21.1008785254627,0.977357863012177,0.272492020995033,3.58673938210467,0.000334838678308039,0.000993048956899869,"hsa-miR-1287-5p"
"hsa-mir-378c_hsa-miR-378c",124.194003365229,2.05955871554375,0.278207696822948,7.40295376103293,1.33188136691272e-13,2.05965939954718e-12,"hsa-miR-378c"
"hsa-mir-326_hsa-miR-326",37.2159293461345,0.98741928634064,0.292899439933703,3.37118871433875,0.000748445688871641,0.00198820235141976,"hsa-miR-326"
"hsa-mir-125b-1_hsa-miR-125b-5p",77.5103944458865,0.897443822644301,0.244570399424622,3.66947032329191,0.000243053550395026,0.000746398491638625,"hsa-miR-125b-5p"
"hsa-mir-16-1_hsa-miR-16-1-3p",4.9361756364367,0.690282380125958,0.297684103408796,2.3188419274711,0.0204036088790826,0.0364478523783754,"hsa-miR-16-1-3p"
"hsa-mir-17_hsa-miR-17-3p",249.234317179214,0.908776996056489,0.237077436773504,3.83324962689175,0.000126461507531535,0.000414832066372383,"hsa-miR-17-3p"
"hsa-mir-19a_hsa-miR-19a-3p",3000.53610383473,1.13254285828234,0.317270755466568,3.5696415089278,0.000357470078759187,0.00104584151420762,"hsa-miR-19a-3p"
"hsa-mir-19b-1_hsa-miR-19b-1-5p",10.6615267413306,1.25891509474246,0.258479661614521,4.87046093638083,1.11338212159648e-06,5.67169951354441e-06,"hsa-miR-19b-1-5p"
"hsa-mir-19b-1_hsa-miR-19b-3p",8160.21379593851,1.49057074605075,0.293110544156842,5.08535354925052,3.66941882507954e-07,2.14710588008033e-06,"hsa-miR-19b-3p"
"hsa-mir-493_hsa-miR-493-5p",7.67240401693356,0.833753222549868,0.325585901611171,2.56077802639493,0.0104438060928518,0.020649169124223,"hsa-miR-493-5p"
"hsa-mir-376a-2_hsa-miR-376a-3p",7.9311821906218,0.992001318147217,0.336911579127963,2.94439662986603,0.00323585019473906,0.00737433228590533,"hsa-miR-376a-3p"
"hsa-mir-7-2_hsa-miR-7-5p",256.914194414477,1.10932894949648,0.208042917451177,5.33221204108914,9.70235500830908e-08,6.66844399777433e-07,"hsa-miR-7-5p"
"hsa-mir-193b_hsa-miR-193b-3p",18.500848948536,1.11227601325826,0.280488310984733,3.9654986311312,7.32426727165168e-05,0.000259951453165998,"hsa-miR-193b-3p"
"hsa-mir-22_hsa-miR-22-5p",31.0216381417696,0.599008713276893,0.250401711531326,2.39219097031593,0.0167481254546342,0.0308593120079004,"hsa-miR-22-5p"
"hsa-mir-33b_hsa-miR-33b-5p",54.5666203274583,1.54393230014743,0.271551429763498,5.6855981258949,1.30355609516006e-08,9.73172050352253e-08,"hsa-miR-33b-5p"
"hsa-mir-1180_hsa-miR-1180-3p",71.1897816236301,1.23244983506158,0.254113027864656,4.8500064928509,1.23457433087071e-06,6.07466687803431e-06,"hsa-miR-1180-3p"
"hsa-mir-21_hsa-miR-21-3p",3.96616811972829,0.795315238369039,0.330478552565705,2.40655628691945,0.0161037222299374,0.0300556539894952,"hsa-miR-21-3p"
"hsa-mir-634_hsa-miR-634",509.773738786527,0.749898583123344,0.253878794367004,2.9537661268365,0.00313921809300099,0.00719196526068481,"hsa-miR-634"
"hsa-mir-3615_hsa-miR-3615",39.6608481761184,1.10130251401854,0.257255299693769,4.28097114162275,1.86079489792281e-05,7.53013262430447e-05,"hsa-miR-3615"
"hsa-mir-338_hsa-miR-338-3p",29.2379015934289,1.1334123384841,0.323859746997881,3.49970117926237,0.000465779982269837,0.00130117891821187,"hsa-miR-338-3p"
"hsa-mir-133a-1_hsa-miR-133a-3p",10.9691823618465,0.792427162194565,0.296190912150326,2.67539323351145,0.00746416433598553,0.0156134452052258,"hsa-miR-133a-3p"
"hsa-mir-3591_hsa-miR-3591-5p",9.00843685522087,1.35205717638591,0.314191468979958,4.30329054055939,1.68279938642986e-05,6.93954413642028e-05,"hsa-miR-3591-5p"
"hsa-mir-3591_hsa-miR-3591-3p",3920.62650945318,1.16369639984824,0.464681965715241,2.5042856958244,0.0122698911765112,0.0237308788265453,"hsa-miR-3591-3p"
"hsa-mir-7-3_hsa-miR-7-5p",260.761890537028,1.08440826537149,0.216371533667214,5.01178804342784,5.39265850960889e-07,2.99361683930852e-06,"hsa-miR-7-5p"
