,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,miRNA,Rank
hsa-mir-5100_hsa-miR-5100,21.58334607,0.272575823,0.337849742,0.806796007,0.41978402,0.517853221,hsa-miR-5100,0.077900349
hsa-mir-107_hsa-miR-107,3048.39287,-2.941104296,0.282374357,-10.41562105,2.1041968711001e-25,1.51852874197724e-23,hsa-miR-107,-67.11181479
hsa-mir-1287_hsa-miR-1287-5p,21.10087853,0.977357863,0.272492021,3.586739382,0.000334839,0.000993049,hsa-miR-1287-5p,2.935034339
hsa-mir-4685_hsa-miR-4685-3p,10.28411197,0.007780978,0.268832764,0.028943563,0.976909602,0.986072687,hsa-miR-4685-3p,4.73944858940563e-05
hsa-mir-3158-2_hsa-miR-3158-3p,4.636107187,-2.02127819,0.386823912,-5.225318618,1.7385547358038e-07,1.14059727364098e-06,hsa-miR-3158-3p,-12.01218881
hsa-mir-3158-1_hsa-miR-3158-3p,4.686457718,-2.242704326,0.375250298,-5.97655575,2.27904584563852e-09,1.86193745502165e-08,hsa-miR-3158-3p,-17.33618273
hsa-mir-146b_hsa-miR-146b-5p,35.61612763,-0.775624427,0.260903564,-2.972839524,0.002950587,0.006795766,hsa-miR-146b-5p,-1.681368823
hsa-mir-1307_hsa-miR-1307-3p,174.3248513,0.234634158,0.227198289,1.032728546,0.301730951,0.403239203,hsa-miR-1307-3p,0.092548453
hsa-mir-1307_hsa-miR-1307-5p,58.25590979,0.592255376,0.306540982,1.932059367,0.053352179,0.085862073,hsa-miR-1307-5p,0.631461871
hsa-mir-2110_hsa-miR-2110,153.4603383,-2.668012947,0.356757465,-7.478506301,7.51720975841349e-14,1.20553771310853e-12,hsa-miR-2110,-31.79956394
hsa-mir-378c_hsa-miR-378c,124.1940034,2.059558716,0.278207697,7.402953761,1.33188136691272e-13,2.05965939954718e-12,hsa-miR-378c,24.06842452
hsa-mir-210_hsa-miR-210-3p,358.7872138,-0.942203075,0.215303177,-4.376168946,1.207834098348e-05,5.12737416259494e-05,hsa-miR-210-3p,-4.042150113
