"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-1290_hsa-miR-1290",32.1361542565099,-4.52308347806621,0.400297750755773,-11.2992977590469,1.32271461739647e-29,1.90911809777557e-27,"hsa-miR-1290"
"hsa-mir-1976_hsa-miR-1976",7.46823085531473,-0.662212785078619,0.299117983915313,-2.21388489053906,0.02683669838276,0.0468560096763512,"hsa-miR-1976"
"hsa-mir-30c-1_hsa-miR-30c-5p",61.7145484165204,-0.64014280690657,0.274897834606923,-2.32865714574256,0.0198772360832187,0.0358322729187957,"hsa-miR-30c-5p"
"hsa-mir-6734_hsa-miR-6734-5p",8.92357484086814,-1.94458141574901,0.406958549900064,-4.77832795557813,1.76758912295393e-06,8.22974290579626e-06,"hsa-miR-6734-5p"
"hsa-mir-1273g_hsa-miR-1273g-3p",4.1761456929646,-0.986092959665349,0.371065814275197,-2.6574610802978,0.00787316806138889,0.0163113960314899,"hsa-miR-1273g-3p"
"hsa-mir-760_hsa-miR-760",53.8435346744661,-4.69591142675122,0.487883230094518,-9.6250724294038,6.26627627651061e-22,3.87613946818442e-20,"hsa-miR-760"
"hsa-mir-197_hsa-miR-197-3p",199.899681874715,-1.20986785366068,0.266445271010312,-4.54077435517274,5.60479919969146e-06,2.47640617700653e-05,"hsa-miR-197-3p"
"hsa-mir-320b-1_hsa-miR-320b",88.7322193042494,-2.20004041888718,0.316014215482734,-6.96184004104517,3.35856733279867e-12,4.4068474397025e-11,"hsa-miR-320b"
"hsa-mir-92b_hsa-miR-92b-5p",4.53326622057482,-1.34095543612354,0.35697957089384,-3.7563926494895,0.000172380164501868,0.000552893416513398,"hsa-miR-92b-5p"
"hsa-mir-214_hsa-miR-214-3p",52.1816595667239,-2.07469582050381,0.3014084559047,-6.88333648197247,5.8466703071507e-12,7.4459065970478e-11,"hsa-miR-214-3p"
"hsa-mir-181b-1_hsa-miR-181b-5p",18.6864951461482,-0.672407742815408,0.213254705396398,-3.1530734178434,0.00161561167947584,0.00399748489836023,"hsa-miR-181b-5p"
"hsa-mir-215_hsa-miR-215-5p",170.195813752286,-0.862657955350235,0.288127362514823,-2.99401607615748,0.00275331436900774,0.00640959742892662,"hsa-miR-215-5p"
"hsa-mir-194-1_hsa-miR-194-5p",31.9919984281813,-1.45784167995356,0.285682053002159,-5.10302157462632,3.34272877277925e-07,2.01394371401175e-06,"hsa-miR-194-5p"
"hsa-mir-320b-2_hsa-miR-320b",85.8807154185497,-2.14001015381827,0.30713787741016,-6.9675878854904,3.22421042236416e-12,4.36275972776151e-11,"hsa-miR-320b"
"hsa-mir-548q_hsa-miR-548q",10.8421279426936,-2.83080435644539,0.394540962591082,-7.1749314389425,7.23434310821487e-13,1.08016226408863e-11,"hsa-miR-548q"
"hsa-mir-107_hsa-miR-107",3048.39286953078,-2.9411042956456,0.282374356947175,-10.4156210480395,2.1041968711001e-25,1.51852874197724e-23,"hsa-miR-107"
"hsa-mir-3158-2_hsa-miR-3158-3p",4.63610718733188,-2.02127819010261,0.386823912134084,-5.22531861836395,1.7385547358038e-07,1.14059727364098e-06,"hsa-miR-3158-3p"
"hsa-mir-3158-1_hsa-miR-3158-3p",4.68645771843768,-2.24270432554488,0.375250297916288,-5.97655574958449,2.27904584563852e-09,1.86193745502165e-08,"hsa-miR-3158-3p"
"hsa-mir-146b_hsa-miR-146b-5p",35.6161276301723,-0.775624427406371,0.260903564176495,-2.97283952350179,0.0029505867448281,0.00679576627931154,"hsa-miR-146b-5p"
