"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-494_hsa-miR-494-3p",5.22281210421202,-0.714118665749666,0.29029986342424,-2.45993455637994,0.0138962352708332,0.0370125042766058,"hsa-miR-494-3p",-1.0223690800094
"hsa-mir-134_hsa-miR-134-5p",252.660076396345,-1.06574636464733,0.378126473262443,-2.81849180104255,0.00482498432828016,0.0157380378875316,"hsa-miR-134-5p",-1.92159335772811
"hsa-mir-203a_hsa-miR-203a",26.257777862123,-2.83750157763467,0.360312874076887,-7.87510461541038,3.40457864813155e-15,5.30263124446488e-13,"hsa-miR-203a",-34.8317749436717
"hsa-mir-1268a_hsa-miR-1268a",4.39859308193246,-1.39925324253859,0.372277453500673,-3.75863010069735,0.000170846196014079,0.000985529445525662,"hsa-miR-1268a",-4.20661755389795
"hsa-mir-4508_hsa-miR-4508",491.965904738288,-0.699064449349772,0.275067173583896,-2.54143175371145,0.0110399496565886,0.0307048599823871,"hsa-miR-4508",-1.05753972073493
"hsa-mir-628_hsa-miR-628-3p",3.65827118831456,-1.31226179408784,0.260633389511356,-5.03489517036983,4.781104046687e-07,6.61917293574667e-06,"hsa-miR-628-3p",-6.79646139205575
"hsa-mir-7706_hsa-miR-7706",2.56595446049076,-0.727879043345094,0.304968098228619,-2.38673830991805,0.0169985863403153,0.04431012255237,"hsa-miR-7706",-0.985182137051393
"hsa-mir-6511b-1_hsa-miR-6511b-3p",2.80212934206452,-0.804670922713654,0.243125577654431,-3.30969258963522,0.000933984874561716,0.00390518507954328,"hsa-miR-6511b-3p",-1.93793595877946
"hsa-mir-6511a-1_hsa-miR-6511a-3p",2.52675086313964,-0.964170709512134,0.267031330226199,-3.61070256698117,0.00030536869577552,0.0015722702270095,"hsa-miR-6511a-3p",-2.70302636776917
"hsa-mir-6511b-2_hsa-miR-6511b-3p",2.87591044528605,-0.789549650142411,0.221300816670687,-3.56776654519681,0.000360037060386842,0.00182970559992093,"hsa-miR-6511b-3p",-2.16148595213326
"hsa-mir-484_hsa-miR-484",1486.36058412767,-0.647631140573678,0.208332848328517,-3.10863671173179,0.00187952667978074,0.00705388627411687,"hsa-miR-484",-1.39342473468589
