"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-551a_hsa-miR-551a",16.117471028924,0.55999746469368,0.21392883955106,2.61768102827492,0.00885295160487128,0.025772845092686,"hsa-miR-551a",0.889745048282205
"hsa-mir-378f_hsa-miR-378f",10.0399367717734,0.934819631715155,0.233761909140445,3.99902462788971,6.36040621050798e-05,0.00044280264615023,"hsa-miR-378f",3.13518853865562
"hsa-mir-186_hsa-miR-186-3p",13.3826698301991,1.14385957188574,0.207761512434108,5.50563749023784,3.67834750378484e-08,7.39229191889663e-07,"hsa-miR-186-3p",7.01325570388163
"hsa-mir-181a-1_hsa-miR-181a-3p",25.1145137234125,0.951615896127539,0.23690779304408,4.01681972509227,5.89888142954953e-05,0.000422414152943604,"hsa-miR-181a-3p",3.21100091843032
"hsa-mir-29c_hsa-miR-29c-3p",174.634270327376,1.82410747345405,0.336910024910482,5.41422735621689,6.1553914679052e-08,1.19837777640779e-06,"hsa-miR-29c-3p",10.8012814002644
"hsa-mir-29b-2_hsa-miR-29b-3p",162.53011414836,0.80696764501335,0.233138627302044,3.4613210790157,0.000537531295500384,0.00251790975260706,"hsa-miR-29b-3p",2.09727650157986
"hsa-mir-1537_hsa-miR-1537-3p",82.0644459264474,1.82167807118877,0.246109076865137,7.40191338894427,1.34236048258676e-13,1.6725811613031e-11,"hsa-miR-1537-3p",19.631519217795
"hsa-mir-146b_hsa-miR-146b-3p",3.64068992187521,0.636839742755201,0.244582595417099,2.60378193169946,0.00922014003616082,0.0264707246199456,"hsa-miR-146b-3p",1.0044454030807
"hsa-mir-1307_hsa-miR-1307-5p",307.562892586231,1.59051550928688,0.28426591190207,5.59516791388909,2.20408347178996e-08,5.08571852935238e-07,"hsa-miR-1307-5p",10.0101442444805
"hsa-mir-378c_hsa-miR-378c",450.434485825066,1.1193543313689,0.2932010757432,3.8177019935264,0.000134700491984433,0.000830875311943579,"hsa-miR-378c",3.44813088351858
"hsa-let-7i_hsa-let-7i-3p",3.96481014868974,0.644442828682221,0.218893091910655,2.94409852342558,0.0032389687267597,0.0112730587529122,"hsa-let-7i-3p",1.25534771159779
"hsa-mir-3613_hsa-miR-3613-3p",5.20569356699725,1.03732980752742,0.303924712850398,3.41311437888249,0.000642249805123631,0.00285801163280016,"hsa-miR-3613-3p",2.63890064939304
"hsa-mir-19b-1_hsa-miR-19b-1-5p",34.3207504629871,0.583152618300617,0.173687204691049,3.35748749793006,0.000786543003875608,0.00340289091260072,"hsa-miR-19b-1-5p",1.43930928540557
