"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA","Rank"
"hsa-mir-200b_hsa-miR-200b-3p",8.52131046243668,-0.0635905066687157,0.285262873349272,-0.222918972672817,0.823598569845395,0.886965455441546,"hsa-miR-200b-3p",-0.00331263897631564
"hsa-mir-200a_hsa-miR-200a-3p",7.03413516398941,-0.392765460145909,0.263786779820846,-1.48895050924334,0.136500401556171,0.227988606352532,"hsa-miR-200a-3p",-0.252189539515529
"hsa-mir-551a_hsa-miR-551a",16.117471028924,0.55999746469368,0.21392883955106,2.61768102827492,0.00885295160487128,0.025772845092686,"hsa-miR-551a",0.889745048282205
"hsa-mir-34a_hsa-miR-34a-5p",291.123846333964,0.423101834348796,0.209592734572428,2.0186855961965,0.0435199080181915,0.0906786043322183,"hsa-miR-34a-5p",0.441081619945434
"hsa-mir-1290_hsa-miR-1290",28.9972506878084,-1.46725352780776,0.374360922107901,-3.91935546997306,8.87860844676015e-05,0.000582249796034903,"hsa-miR-1290",-4.74640472551671
"hsa-mir-378f_hsa-miR-378f",10.0399367717734,0.934819631715155,0.233761909140445,3.99902462788971,6.36040621050798e-05,0.00044280264615023,"hsa-miR-378f",3.13518853865562
"hsa-mir-1976_hsa-miR-1976",9.03322415956234,-0.60064747404972,0.214940197164824,-2.7944864756457,0.00519822150408188,0.0166932577167166,"hsa-miR-1976",-1.06762619957349
"hsa-mir-5585_hsa-miR-5585-3p",4.19770293937927,-1.41745244271243,0.352804777170326,-4.01766794112348,5.87769436914676e-05,0.000422414152943604,"hsa-miR-5585-3p",-4.78285526114302
"hsa-mir-30e_hsa-miR-30e-5p",625.242554184749,0.300788085945105,0.291179495690668,1.03299885602057,0.301604434014616,0.419418666051576,"hsa-miR-30e-5p",0.113503059605029
"hsa-mir-30e_hsa-miR-30e-3p",10.2398826619053,-0.251411499728411,0.252699638237772,-0.994902491676108,0.319783690910743,0.43784986229584,"hsa-miR-30e-3p",-0.0901749649937145
"hsa-mir-30c-1_hsa-miR-30c-5p",160.878164218995,-0.615766930501988,0.296893265681434,-2.07403468411003,0.0380760897811124,0.0806850473933096,"hsa-miR-30c-5p",-0.673160682810129
"hsa-mir-30c-1_hsa-miR-30c-1-3p",2.55730888809727,0.0560831870336647,0.261459275238792,0.214500659739241,0.830156652538962,0.890750727183839,"hsa-miR-30c-1-3p",0.00281783324201867
"hsa-mir-6734_hsa-miR-6734-5p",13.6230002930082,-0.476068213067014,0.337537893294773,-1.41041412690001,0.158417436452744,0.257686848329137,"hsa-miR-6734-5p",-0.280360258371716
"hsa-mir-1273f_hsa-miR-1273f",7.97522616549888,-1.42459730845163,0.333035418462028,-4.27761502074009,1.8890635476677e-05,0.000159038728404997,"hsa-miR-1273f",-5.41132875242402
"hsa-mir-5095_hsa-miR-5095",2.65893483269956,-0.35729552040625,0.324942623910048,-1.09956495121169,0.271521719900876,0.390646789500368,"hsa-miR-5095",-0.145853655459431
"hsa-mir-1273g_hsa-miR-1273g-3p",8.6266088280159,-0.0298087913289636,0.268027135991164,-0.111215572329013,0.911445403306387,0.948893209971896,"hsa-miR-1273g-3p",-0.000679123589146214
"hsa-mir-101-1_hsa-miR-101-5p",33.0187449847157,0.458947795554212,0.218209675096405,2.10324219286541,0.0354446037503336,0.0769407252141388,"hsa-miR-101-5p",0.511196121957863
"hsa-mir-101-1_hsa-miR-101-3p",1344.60763419785,-0.185158245923549,0.305321506597979,-0.60643695881977,0.544224632476118,0.662636843978504,"hsa-miR-101-3p",-0.0330923001315711
"hsa-mir-186_hsa-miR-186-5p",816.780068056065,0.33298898867326,0.222447003108313,1.49693627704718,0.134409839705438,0.225100349829269,"hsa-miR-186-5p",0.215651604212492
"hsa-mir-186_hsa-miR-186-3p",13.3826698301991,1.14385957188574,0.207761512434108,5.50563749023784,3.67834750378484e-08,7.39229191889663e-07,"hsa-miR-186-3p",7.01325570388163
"hsa-mir-760_hsa-miR-760",4.43594159927159,-0.957102937616352,0.331030453999012,-2.89128364491567,0.00383671665869027,0.0130616091713882,"hsa-miR-760",-1.80318510756389
"hsa-mir-378g_hsa-miR-378g",3.91820454944947,-0.13779382762786,0.293568319296283,-0.469375673635928,0.638801133362472,0.750892652990227,"hsa-miR-378g",-0.0171446035940809
