"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-409_hsa-miR-409-3p",190.736115046428,-1.20837995928744,0.244239807430292,-4.94751437941714,7.5167152772614e-07,9.24675292044061e-06,"hsa-miR-409-3p"
"hsa-mir-629_hsa-miR-629-3p",4.36906264309703,-0.659864723142095,0.223808672347365,-2.94834295839057,0.00319482415060166,0.0102090073558274,"hsa-miR-629-3p"
"hsa-mir-3177_hsa-miR-3177-3p",2.69320443628339,-0.637275781847221,0.274009206330379,-2.32574587686971,0.0200321115065925,0.0448696139237259,"hsa-miR-3177-3p"
"hsa-mir-1225_hsa-miR-1225-5p",14.1184695254761,-0.804600277685189,0.304760992380692,-2.64010256496384,0.00828809400961997,0.0217738062964592,"hsa-miR-1225-5p"
"hsa-mir-365a_hsa-miR-365a-3p",20.4835298890693,-0.961482285496882,0.309017512639873,-3.11141681674652,0.00186191922843983,0.00635621373280066,"hsa-miR-365a-3p"
"hsa-mir-3180-1_hsa-miR-3180-3p",2.35443026210321,-1.30610265396166,0.337630677315553,-3.86843596188081,0.000109535694542435,0.000589515022711023,"hsa-miR-3180-3p"
"hsa-mir-3180-4_hsa-miR-3180",2.26739857508466,-1.30272382640251,0.335165087370212,-3.88681242615096,0.000101569177054702,0.000554338818432351,"hsa-miR-3180"
"hsa-mir-3180-2_hsa-miR-3180-3p",2.44684738789824,-1.19511722144723,0.343452942558704,-3.47971169658259,0.000501953625941157,0.00208028909146736,"hsa-miR-3180-3p"
"hsa-mir-328_hsa-miR-328-3p",51.2839592686027,-0.65470663894295,0.178123799902247,-3.67557080694577,0.000237318206603923,0.00111467642495782,"hsa-miR-328-3p"
"hsa-mir-132_hsa-miR-132-5p",10.4459870135164,-0.608619870379345,0.215223039642219,-2.8278564943191,0.00468608077302424,0.0139681253811299,"hsa-miR-132-5p"
"hsa-mir-212_hsa-miR-212-5p",3.00894992631448,-0.813850828965682,0.349188021011735,-2.33069515560023,0.0197694398214109,0.044538708899981,"hsa-miR-212-5p"
"hsa-mir-744_hsa-miR-744-5p",352.014934143114,-0.844581933743084,0.187321096498487,-4.50873900233604,6.52140756083995e-06,5.87684983680345e-05,"hsa-miR-744-5p"
"hsa-mir-4731_hsa-miR-4731-5p",2.68480272826139,-0.731551286109236,0.287555508032807,-2.54403503210161,0.0109580093932432,0.0276627272956465,"hsa-miR-4731-5p"
"hsa-mir-33b_hsa-miR-33b-5p",487.929698376048,-0.47205531859117,0.186108874880627,-2.53644711405597,0.0111983655727635,0.0279959139319088,"hsa-miR-33b-5p"
"hsa-mir-4523_hsa-miR-4523",36.0328100788059,-2.26815898734261,0.283965876986336,-7.987435009495,1.37775246257618e-15,1.5253687978522e-13,"hsa-miR-4523"
"hsa-mir-365b_hsa-miR-365b-3p",21.3169163567105,-0.997882679467702,0.310829525415955,-3.21038575126454,0.00132556951111722,0.00489198271959928,"hsa-miR-365b-3p"
"hsa-mir-4726_hsa-miR-4726-5p",3.19880233971269,-0.808984609362588,0.334539146019074,-2.41820611724902,0.0155972389742558,0.0365190348159901,"hsa-miR-4726-5p"
"hsa-mir-21_hsa-miR-21-3p",59.0395430641392,-0.36099303649693,0.139812809117796,-2.58197398918423,0.00982369886113103,0.0251545551625205,"hsa-miR-21-3p"
"hsa-mir-3064_hsa-miR-3064-5p",2.5368264605605,-0.663420145363771,0.258473461855032,-2.56668572704712,0.0102675623115804,0.0260897075130322,"hsa-miR-3064-5p"
"hsa-mir-6516_hsa-miR-6516-5p",3.2923868024602,-0.859330940503418,0.230269070748624,-3.73185568391647,0.00019007439041622,0.000954034543960363,"hsa-miR-6516-5p"
"hsa-mir-1250_hsa-miR-1250-5p",19.3867161834922,-0.961688234980446,0.228182729492045,-4.21455312205815,2.50273241750055e-05,0.000177925090702803,"hsa-miR-1250-5p"
"hsa-mir-133a-1_hsa-miR-133a-3p",57.8657977139488,-0.684033647713152,0.202935963008111,-3.37068717428765,0.000749809497040134,0.00296480796023522,"hsa-miR-133a-3p"
"hsa-mir-1539_hsa-miR-1539",2.6840727568076,-0.996670460877311,0.306924967025568,-3.24727724347784,0.00116514831021253,0.00440482897763274,"hsa-miR-1539"
"hsa-mir-6515_hsa-miR-6515-5p",3.64165876213501,-0.609660264888016,0.262889350747859,-2.31907554700742,0.0203909403901507,0.0455417256552356,"hsa-miR-6515-5p"
"hsa-mir-23a_hsa-miR-23a-5p",78.9631881381364,-1.40111126386461,0.222507824926524,-6.29690782482494,3.03641711809477e-10,1.17661163326173e-08,"hsa-miR-23a-5p"
"hsa-mir-181d_hsa-miR-181d-5p",6.68338768967688,-0.48173961032732,0.195862500780572,-2.45958061603135,0.0139099453788796,0.0333752559400363,"hsa-miR-181d-5p"
"hsa-mir-181d_hsa-miR-181d-3p",2.59399639627871,-1.01417882344245,0.322259660881052,-3.14708586445386,0.00164906527472359,0.00580920721777628,"hsa-miR-181d-3p"
"hsa-mir-769_hsa-miR-769-5p",1173.75313121449,-0.491626948691715,0.206355772858393,-2.38242401403077,0.0171990810849299,0.0394357628426646,"hsa-miR-769-5p"
"hsa-mir-4750_hsa-miR-4750-5p",3.49707490459413,-0.827761088758908,0.267104419948873,-3.09901681491213,0.00194164000034281,0.00654248260985079,"hsa-miR-4750-5p"
"hsa-mir-99b_hsa-miR-99b-3p",6.90040489325035,-0.51443485519993,0.20668053390189,-2.4890338992647,0.0128090751731948,0.0312170857208364,"hsa-miR-99b-3p"
"hsa-let-7e_hsa-let-7e-5p",27.7508960421007,-0.903576281966576,0.244339664742758,-3.69803356699317,0.000217276162019601,0.00105905047525277,"hsa-let-7e-5p"
"hsa-mir-125a_hsa-miR-125a-3p",5.86283627407652,-0.589347793801035,0.236026972664592,-2.49695103550107,0.0125266252196611,0.0306250301111588,"hsa-miR-125a-3p"
"hsa-mir-515-1_hsa-miR-515-3p",2.80058528505023,-1.31183058250468,0.307653961385163,-4.26398079387106,2.00816713163841e-05,0.00014562039197964,"hsa-miR-515-3p"
"hsa-mir-515-2_hsa-miR-515-3p",2.587960718622,-0.943289901754719,0.311310355841682,-3.0300627141181,0.00244502962890496,0.00813260928069246,"hsa-miR-515-3p"
"hsa-mir-518e_hsa-miR-518e-3p",2.90518393513681,-0.913299414786484,0.292132027102094,-3.12632416187393,0.00177006322013274,0.00612410265894139,"hsa-miR-518e-3p"
